movie_name,year,daily_bo1,theaters_count1,gross_change1,daily_bo2,theaters_count2,gross_change2,daily_bo3,theaters_count3,gross_change3,daily_bo4,theaters_count4,gross_change4,daily_bo5,theaters_count5,gross_change5,daily_bo6,theaters_count6,gross_change6,daily_bo7,theaters_count7,gross_change7,daily_bo8,theaters_count8,gross_change8,daily_bo9,theaters_count9,gross_change9,daily_bo10,theaters_count10,gross_change10,daily_bo11,theaters_count11,gross_change11,daily_bo12,theaters_count12,gross_change12,daily_bo13,theaters_count13,gross_change13,daily_bo14,theaters_count14,gross_change14,daily_bo15,theaters_count15,gross_change15,daily_bo16,theaters_count16,gross_change16,daily_bo17,theaters_count17,gross_change17,daily_bo18,theaters_count18,gross_change18,daily_bo19,theaters_count19,gross_change19,daily_bo20,theaters_count20,gross_change20,daily_bo21,theaters_count21,gross_change21,daily_bo22,theaters_count22,gross_change22,daily_bo23,theaters_count23,gross_change23,daily_bo24,theaters_count24,gross_change24,daily_bo25,theaters_count25,gross_change25,daily_bo26,theaters_count26,gross_change26,daily_bo27,theaters_count27,gross_change27,daily_bo28,theaters_count28,gross_change28,daily_bo29,theaters_count29,gross_change29,daily_bo30,theaters_count30,gross_change30
Black Panther,2018,75941146,4020,0,65995366,4020,-13.1,60067439,4020,-9.0,40151729,4020,-33.2,20857361,4020,-48.1,14688057,4020,-29.6,14253324,4020,-3.0,28789877,4020,102.0,47553478,4020,65.2,35315480,4020,-25.7,8098481,4020,-77.1,10204038,4020,26.0,6876570,4020,-32.6,6607691,4020,-3.9,16257536,4084,146.0,30052665,4084,84.9,19996734,4084,-33.5,4720738,4084,-76.4,6258583,4084,32.6,3941783,4084,-37.0,4251525,4084,7.9,10018784,3942,135.7,18352112,3942,83.2,12446683,3942,-32.2,4035653,3942,-67.6,5167907,3942,28.1,3843374,3942,-25.6,3632414,3942,-5.5,7482380,3834,106.0,11558877,3834,54.5
Avengers: Infinity War,2018,106334939,4474,0,82131612,4474,-22.8,69231632,4474,-15.7,24740117,4474,-64.3,23426108,4474,-5.3,16966862,4474,-27.6,15501270,4474,-8.6,31453749,4474,102.9,46676705,4474,48.4,36644356,4474,-21.5,8283575,4474,-77.4,10673500,4474,28.9,7051981,4474,-33.9,6895697,4474,-2.2,15986612,4474,131.8,26938937,4474,68.5,19152498,4474,-28.9,4625938,4474,-75.8,6009292,4474,29.9,4193985,4474,-30.2,3441594,4474,-17.9,7306785,4002,112.3,12791859,4002,75.1,9354259,4002,-26.9,2708094,4002,-71.0,2859727,4002,5.6,1901495,4002,-33.5,1911460,4002,0.5,4234857,3768,121.6,6473278,3768,52.9
Incredibles 2,2018,71260321,4410,0,58894582,4410,-17.4,52533002,4410,-10.8,23627708,4410,-55.0,27059923,4410,14.5,19737194,4410,-27.1,16333960,4410,-17.2,24139486,4410,47.8,31420979,4410,30.2,24787186,4410,-21.1,10417081,4410,-58.0,13719714,4410,31.7,10231988,4410,-25.4,10020390,4410,-2.1,13583295,4410,35.6,17751703,4410,30.7,15082763,4410,-15.0,7664705,4410,-49.2,10278385,4410,34.1,9646015,4410,-6.2,7171034,4410,-25.7,9734358,4113,35.7,10632769,4113,9.2,8039296,4113,-24.4,3543643,4113,-55.9,5308927,4113,49.8,3616401,4113,-31.9,3361684,4113,-7.0,4688187,3705,39.5,6588238,3705,40.5
Jurassic World: Fallen Kingdom,2018,58566870,4475,0,49701695,4475,-15.1,39756045,4475,-20.0,14725880,4475,-63.0,18390180,4475,24.9,12271855,4475,-33.3,11374810,4475,-7.3,17374160,4485,52.7,23831155,4485,37.2,19706880,4485,-17.3,8580225,4485,-56.5,11891170,4485,38.6,11501395,4485,-3.3,7085345,4485,-38.4,9173610,4349,29.5,11024365,4349,20.2,8434400,4349,-23.5,3361050,4349,-60.2,4921340,4349,46.4,3241425,4349,-34.1,2868360,4349,-11.5,4640445,3695,61.8,6642960,3695,43.2,4916025,3695,-26.0,2062420,3695,-58.0,2986000,3695,44.8,2010810,3695,-32.7,1860630,3695,-7.5,3052630,3381,64.1,4590495,3381,50.4
Aquaman,2018,27733155,4125,0,21346634,4125,-23.0,18793733,4125,-12.0,10851928,4125,-42.3,21982419,4125,102.6,16903518,4125,-23.1,14622228,4125,-13.5,17041113,4125,16.5,18632907,4125,9.3,16440551,4125,-11.8,10011638,4125,-39.1,16377779,4125,63.6,7379476,4125,-54.9,6203801,4125,-15.9,9388082,4184,51.3,13053690,4184,39.0,8561508,4184,-34.4,2583295,4184,-69.8,3852619,4184,49.1,2134441,4184,-44.6,2002266,4184,-6.2,4556191,3863,127.6,7747528,3863,70.0,5047415,3863,-34.9,1421575,3863,-71.8,2268757,3863,59.6,1277372,3863,-43.7,1091229,3863,-14.6,2533388,3475,132.2,4441834,3475,75.3
Deadpool 2,2018,53034421,4349,0,40474865,4349,-23.7,31997867,4349,-20.9,12007149,4349,-62.5,12401246,4349,3.3,8031712,4349,-35.2,6760092,4349,-15.8,12099375,4349,79.0,15954039,4349,31.9,15409629,4349,-3.4,10367286,4349,-32.7,5346203,4349,-48.4,3866312,4349,-27.7,3577242,4349,-7.5,6696723,4161,87.2,9692214,4161,44.7,6789660,4161,-29.9,2646473,4161,-61.0,3407258,4161,28.7,2269181,4161,-33.4,2186594,4161,-3.6,3810006,3823,74.2,5900670,3823,54.9,4437841,3823,-24.8,1705700,3823,-61.6,2071217,3823,21.4,1604307,3670,-22.5,1335526,3670,-16.8,2333570,3212,74.7,3288230,3212,40.9
The Grinch,2018,18641165,4141,0,27444270,4141,47.2,21487420,4141,-21.7,10665595,4141,-50.4,4952140,4141,-53.6,2661885,4141,-46.2,2523805,4141,-5.2,8872095,4141,251.5,17070270,4141,92.4,12644765,4141,-25.9,4660185,4141,-63.1,6800655,4141,45.9,6974765,3960,2.6,4703755,3960,-32.6,11590955,3960,146.4,11632050,3960,0.4,7169215,3960,-38.4,1313625,3960,-81.7,1804230,3960,37.3,1060260,3960,-41.2,1106090,3960,4.3,3922435,3934,254.6,8378745,3934,113.6,5625605,3934,-32.9,870250,3934,-84.5,1625610,3934,86.8,1057365,3934,-35.0,1025970,3934,-3.0,3342250,3841,225.8,7091330,3841,112.2
Mission: Impossible - Fallout,2018,22803458,4386,0,21421918,4386,-6.1,17011158,4386,-20.6,6838935,4386,-59.8,9451166,4386,38.2,6328934,4386,-33.0,5631802,4386,-11.0,9851648,4395,74.9,14731942,4395,49.5,10740225,4395,-27.1,4460884,4395,-58.5,5665373,4395,27.0,3681670,4395,-35.0,3348171,4395,-9.1,5320219,3888,58.9,8401242,3888,57.9,5630629,3888,-33.0,2110799,3888,-62.5,3285530,3888,55.7,1835262,3888,-44.1,1687756,3888,-8.0,3008971,3482,78.3,4602087,3482,52.9,3162289,3482,-31.3,1068304,3482,-66.2,1715951,3482,60.6,1137791,3482,-33.7,966546,3482,-15.1,2263164,3052,134.1,3366295,3052,48.7
Ant-Man and the Wasp,2018,33725082,4206,0,23555372,4206,-30.2,18531751,4206,-21.3,6983824,4206,-62.3,10042976,4206,43.8,5852591,4206,-41.7,5293629,4206,-9.6,8431124,4206,59.3,11756671,4206,39.4,8910064,4206,-24.2,3566526,4206,-60.0,5506525,4206,54.4,3349910,4206,-39.2,2992247,4206,-10.7,4483139,3778,49.8,6609304,3778,47.4,5414713,3778,-18.1,2272573,3778,-58.0,3315774,3778,45.9,2271063,3778,-31.5,1859269,3778,-18.1,2519657,3013,35.5,3511225,3013,39.4,2735218,3013,-22.1,1278835,3013,-53.2,1908663,3013,49.3,1376054,3013,-27.9,1227656,3013,-10.8,1831798,2233,49.2,2593399,2233,41.6
Bohemian Rhapsody,2018,18811564,4000,0,18869750,4000,0.3,13379805,4000,-29.1,4385123,4000,-67.2,6248841,4000,42.5,3938110,4000,-37.0,3527355,4000,-10.4,8441079,4000,139.3,13101575,4000,55.2,9658914,4000,-26.3,4420001,4000,-54.2,3358835,4000,-24.0,2240590,4000,-33.3,1804317,4000,-19.5,4299489,3810,138.3,6823938,3810,58.7,4919538,3810,-27.9,1915489,3810,-61.1,2494940,3810,30.3,2888883,3076,15.8,2628814,3076,-9.0,5221513,2927,98.6,5512939,2927,5.6,3266704,2927,-40.7,960146,2927,-70.6,1300064,2927,35.4,964655,2927,-25.8,940179,2927,-2.5,2272928,3007,141.8,3536329,3007,55.6
